,train,test,valid,epoch
0,0.0221316249271986,0.7067385993485342,0.7092054460475513,1
1,0.0110658124635993,0.7167141693811075,0.7126600284495022,2
2,0.007377208309066201,0.7264861563517915,0.7255639097744361,3
3,0.00553290623179965,0.7287255700325733,0.7248526722210933,4
4,0.004426324985439721,0.7297434853420195,0.7265799634220687,5
5,0.0036886041545331006,0.7270969055374593,0.7289168868116237,6
6,0.0031616607038855147,0.7263843648208469,0.7297297297297297,7
7,0.002766453115899825,0.7288273615635179,0.7268847795163584,8
8,0.0024590694363554,0.7273004885993485,0.7314570209307052,9
9,0.0022131624927198604,0.7327972312703583,0.7294249136354399,10
10,0.0020119659024726002,0.7289291530944625,0.7312538102011786,11
11,0.0018443020772665503,0.7323900651465798,0.7298313350944929,12
12,0.0017024326867075847,0.7299470684039088,0.7336923389554969,13
13,0.0015808303519427574,0.7292345276872965,0.7297297297297297,14
14,0.0014754416618132401,0.7296416938110749,0.7306441780125991,15
